year,category,nominee,movie,winner
1991,Actor In A Leading Role,Warren Beatty,Bugsy,False
1991,Actor In A Leading Role,Robert De Niro,Cape Fear,False
1991,Actor In A Leading Role,Anthony Hopkins,The Silence of the Lambs,True
1991,Actor In A Leading Role,Nick Nolte,The Prince of Tides,False
1991,Actor In A Leading Role,Robin Williams,The Fisher King,False
1991,Actress In A Leading Role,Geena Davis,Thelma & Louise,False
1991,Actress In A Leading Role,Laura Dern,Rambling Rose,False
1991,Actress In A Leading Role,Jodie Foster,The Silence of the Lambs,True
1991,Actress In A Leading Role,Bette Midler,For the Boys,False
1991,Actress In A Leading Role,Susan Sarandon,Thelma & Louise,False
1991,Directing,John Singleton,Boyz N the Hood,False
1991,Directing,Barry Levinson,Bugsy,False
1991,Directing,Oliver Stone,JFK,False
1991,Directing,Jonathan Demme,The Silence of the Lambs,True
1991,Directing,Ridley Scott,Thelma & Louise,False
1991,Best Picture,"Don Hahn, Producer",Beauty and the Beast,False
1991,Best Picture,"Mark Johnson, Barry Levinson and Warren Beatty, Producers",Bugsy,False
1991,Best Picture,"A. Kitman Ho and Oliver Stone, Producers",JFK,False
1991,Best Picture,"Barbra Streisand and Andrew Karsch, Producers",The Prince of Tides,False
1991,Best Picture,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",The Silence of the Lambs,True
1991,Writing (Screenplay Based On Material Previously Produced Or Published),Agnieszka Holland,Europa Europa,False
1991,Writing (Screenplay Based On Material Previously Produced Or Published),"Fannie Flagg, Carol Sobieski",Fried Green Tomatoes,False
1991,Writing (Screenplay Based On Material Previously Produced Or Published),"Oliver Stone, Zachary Sklar",JFK,False
1991,Writing (Screenplay Based On Material Previously Produced Or Published),"Pat Conroy, Becky Johnston",The Prince of Tides,False
1991,Writing (Screenplay Based On Material Previously Produced Or Published),Ted Tally,The Silence of the Lambs,True
1991,Writing (Screenplay Written Directly For The Screen),John Singleton,Boyz N the Hood,False
1991,Writing (Screenplay Written Directly For The Screen),James Toback,Bugsy,False
1991,Writing (Screenplay Written Directly For The Screen),Richard LaGravenese,The Fisher King,False
1991,Writing (Screenplay Written Directly For The Screen),"Lawrence Kasdan, Meg Kasdan",Grand Canyon,False
1991,Writing (Screenplay Written Directly For The Screen),Callie Khouri,Thelma & Louise,True
1992,Actor In A Leading Role,Robert Downey Jr.,Chaplin,False
1992,Actor In A Leading Role,Clint Eastwood,Unforgiven,False
1992,Actor In A Leading Role,Al Pacino,Scent of a Woman,True
1992,Actor In A Leading Role,Stephen Rea,The Crying Game,False
1992,Actor In A Leading Role,Denzel Washington,Malcolm X,False
1992,Actress In A Leading Role,Catherine Deneuve,Indochine,False
1992,Actress In A Leading Role,Mary McDonnell,Passion Fish,False
1992,Actress In A Leading Role,Michelle Pfeiffer,Love Field,False
1992,Actress In A Leading Role,Susan Sarandon,Lorenzo's Oil,False
1992,Actress In A Leading Role,Emma Thompson,Howards End,True
1992,Directing,Neil Jordan,The Crying Game,False
1992,Directing,James Ivory,Howards End,False
1992,Directing,Robert Altman,The Player,False
1992,Directing,Martin Brest,Scent of a Woman,False
1992,Directing,Clint Eastwood,Unforgiven,True
1992,Best Picture,"Stephen Woolley, Producer",The Crying Game,False
1992,Best Picture,"David Brown, Rob Reiner and Andrew Scheinman, Producers",A Few Good Men,False
1992,Best Picture,"Ismail Merchant, Producer",Howards End,False
1992,Best Picture,"Martin Brest, Producer",Scent of a Woman,False
1992,Best Picture,"Clint Eastwood, Producer",Unforgiven,True
