Movie,URL,Max Week
Bugsy,https://www.the-numbers.com/movie/Bugsy#tab=box-office,11
Cape-Fear,https://www.the-numbers.com/movie/Cape-Fear#tab=box-office,6
The-Silence-of-the-Lambs,https://www.the-numbers.com/movie/Silence-of-the-Lambs-The#tab=box-office,19
The-Prince-of-Tides,https://www.the-numbers.com/movie/Prince-of-Tides-The#tab=box-office,10
The-Fisher-King,https://www.the-numbers.com/movie/Fisher-King-The#tab=box-office,9
Thelma-&-Louise,https://www.the-numbers.com/movie/Thelma-and-Louise#tab=box-office,7
Rambling-Rose,https://www.the-numbers.com/movie/Rambling-Rose#tab=box-office,9
For-the-Boys,https://www.the-numbers.com/movie/For-the-Boys#tab=box-office,4
Boyz-N-the-Hood,https://www.the-numbers.com/movie/Boyz-N-the-Hood#tab=box-office,9
JFK,https://www.the-numbers.com/movie/JFK#tab=box-office,8
Beauty-and-the-Beast,https://www.the-numbers.com/movie/Beauty-and-the-Beast#tab=box-office,603
Fried-Green-Tomatoes,https://www.the-numbers.com/movie/Fried-Green-Tomatoes#tab=box-office,26
Grand-Canyon,https://www.the-numbers.com/movie/Grand-Canyon#tab=box-office,8
Chaplin,https://www.the-numbers.com/movie/Chaplin#tab=box-office,5
Unforgiven,https://www.the-numbers.com/movie/Unforgiven#tab=box-office,45
Scent-of-a-Woman,https://www.the-numbers.com/movie/Scent-of-a-Woman#tab=box-office,16
The-Crying-Game,https://www.the-numbers.com/movie/Crying-Game-The#tab=box-office,26
Malcolm-X,https://www.the-numbers.com/movie/Malcolm-X#tab=box-office,21
Indochine,https://www.the-numbers.com/movie/Indochine#tab=box-office,5
Passion-Fish,https://www.the-numbers.com/movie/Passion-Fish#tab=box-office,14
Lorenzo's-Oil,https://www.the-numbers.com/movie/Lorenzos-Oil#tab=box-office,5
Howards-End,https://www.the-numbers.com/movie/Howards-End#tab=box-office,88
The-Player,https://www.the-numbers.com/movie/Player-The#tab=box-office,42
A-Few-Good-Men,https://www.the-numbers.com/movie/Few-Good-Men-A#tab=box-office,26
Enchanted-April,https://www.the-numbers.com/movie/Enchanted-April#tab=box-office,26
A-River-Runs-through-It,https://www.the-numbers.com/movie/River-Runs-through-It-A#tab=box-office,23
Husbands-and-Wives,https://www.the-numbers.com/movie/Husbands-and-Wives#tab=box-office,2
In-the-Name-of-the-Father,https://www.the-numbers.com/movie/In-the-Name-of-the-Father#tab=box-office,7
What's-Love-Got-to-Do-with-It,https://www.the-numbers.com/movie/Whats-Love-Got-to-Do-with-It#tab=box-office,5
Philadelphia,https://www.the-numbers.com/movie/Philadelphia#tab=box-office,25
The-Remains-of-the-Day,https://www.the-numbers.com/movie/Remains-of-the-Day-The#tab=box-office,11
Schindler's-List,https://www.the-numbers.com/movie/Schindlers-List#tab=box-office,41
Six-Degrees-of-Separation,https://www.the-numbers.com/movie/Six-Degrees-of-Separation#tab=box-office,1
The-Piano,https://www.the-numbers.com/movie/Piano-The#tab=box-office,22
Shadowlands,https://www.the-numbers.com/movie/Shadowlands#tab=box-office,5
The-Fugitive,https://www.the-numbers.com/movie/Fugitive-The#tab=box-office,11
The-Age-of-Innocence,https://www.the-numbers.com/movie/Age-of-Innocence-The#tab=box-office,7
Dave,https://www.the-numbers.com/movie/Dave#tab=box-office,8
In-the-Line-of-Fire,https://www.the-numbers.com/movie/In-the-Line-of-Fire#tab=box-office,10
Sleepless-in-Seattle,https://www.the-numbers.com/movie/Sleepless-in-Seattle#tab=box-office,13
The-Shawshank-Redemption,https://www.the-numbers.com/movie/Shawshank-Redemption-The#tab=box-office,37
Forrest-Gump,https://www.the-numbers.com/movie/Forrest-Gump#tab=box-office,46
The-Madness-of-King-George,https://www.the-numbers.com/movie/Madness-of-King-George-The#tab=box-office,26
Nobody's-Fool,https://www.the-numbers.com/movie/Nobodys-Fool#tab=box-office,21
Pulp-Fiction,https://www.the-numbers.com/movie/Pulp-Fiction#tab=box-office,46
Nell,https://www.the-numbers.com/movie/Nell#tab=box-office,16
Blue-Sky,https://www.the-numbers.com/movie/Blue-Sky#tab=box-office,31
Tom-&-Viv,https://www.the-numbers.com/movie/Tom-and-Viv#tab=box-office,13
Little-Women,https://www.the-numbers.com/movie/Little-Women#tab=box-office,20
The-Client,https://www.the-numbers.com/movie/Client-The#tab=box-office,20
Bullets-over-Broadway,https://www.the-numbers.com/movie/Bullets-over-Broadway#tab=box-office,26
Quiz-Show,https://www.the-numbers.com/movie/Quiz-Show#tab=box-office,32
Red,https://www.the-numbers.com/movie/Red#tab=box-office,1
Four-Weddings-and-a-Funeral,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral#tab=box-office,23
Heavenly-Creatures,https://www.the-numbers.com/movie/Heavenly-Creatures#tab=box-office,18
Leaving-Las-Vegas,https://www.the-numbers.com/movie/Leaving-Las-Vegas#tab=box-office,33
Mr.-Holland's-Opus,https://www.the-numbers.com/movie/Mr-Hollands-Opus#tab=box-office,30
Nixon,https://www.the-numbers.com/movie/Nixon#tab=box-office,18
Dead-Man-Walking,https://www.the-numbers.com/movie/Dead-Man-Walking#tab=box-office,28
The-Postman-(Il-Postino),https://www.the-numbers.com/movie/Postino-Il#tab=box-office,70
Casino,https://www.the-numbers.com/movie/Casino#tab=box-office,16
The-Bridges-of-Madison-County,https://www.the-numbers.com/movie/Bridges-of-Madison-County-The#tab=box-office,46
Sense-and-Sensibility,https://www.the-numbers.com/movie/Sense-and-Sensibility#tab=box-office,29
Babe,https://www.the-numbers.com/movie/Babe#tab=box-office,37
Braveheart,https://www.the-numbers.com/movie/Braveheart#tab=box-office,49
Apollo-13,https://www.the-numbers.com/movie/Apollo-13#tab=box-office,506
Mighty-Aphrodite,https://www.the-numbers.com/movie/Mighty-Aphrodite#tab=box-office,27
Toy-Story,https://www.the-numbers.com/movie/Toy-Story#tab=box-office,38
The-Usual-Suspects,https://www.the-numbers.com/movie/Usual-Suspects-The#tab=box-office,27
