movie,url,first_full_date_in_theaters,first_month_in_theaters
Bugsy,https://www.the-numbers.com/movie/Bugsy#tab=box-office,1991-12-20,12.0
Cape-Fear,https://www.the-numbers.com/movie/Cape-Fear#tab=box-office,1991-11-15,11.0
The-Silence-of-the-Lambs,https://www.the-numbers.com/movie/Silence-of-the-Lambs-The#tab=box-office,1991-02-15,2.0
The-Prince-of-Tides,https://www.the-numbers.com/movie/Prince-of-Tides-The#tab=box-office,1991-12-27,12.0
The-Fisher-King,https://www.the-numbers.com/movie/Fisher-King-The#tab=box-office,1991-09-27,9.0
Thelma-&-Louise,https://www.the-numbers.com/movie/Thelma-and-Louise#tab=box-office,1991-05-24,5.0
Rambling-Rose,https://www.the-numbers.com/movie/Rambling-Rose#tab=box-office,1991-09-27,9.0
For-the-Boys,https://www.the-numbers.com/movie/For-the-Boys#tab=box-office,1991-11-29,11.0
Boyz-N-the-Hood,https://www.the-numbers.com/movie/Boyz-N-the-Hood#tab=box-office,1991-07-12,7.0
JFK,https://www.the-numbers.com/movie/JFK#tab=box-office,1991-12-20,12.0
Beauty-and-the-Beast,https://www.the-numbers.com/movie/Beauty-and-the-Beast#tab=box-office,1991-11-15,11.0
Fried-Green-Tomatoes,https://www.the-numbers.com/movie/Fried-Green-Tomatoes#tab=box-office,1992-01-24,1.0
Grand-Canyon,https://www.the-numbers.com/movie/Grand-Canyon#tab=box-office,1992-01-10,1.0
Chaplin,https://www.the-numbers.com/movie/Chaplin#tab=box-office,1993-01-01,1.0
Unforgiven,https://www.the-numbers.com/movie/Unforgiven#tab=box-office,1992-08-07,8.0
Scent-of-a-Woman,https://www.the-numbers.com/movie/Scent-of-a-Woman#tab=box-office,1993-01-01,1.0
The-Crying-Game,https://www.the-numbers.com/movie/Crying-Game-The#tab=box-office,1993-01-01,1.0
Malcolm-X,https://www.the-numbers.com/movie/Malcolm-X#tab=box-office,1992-11-20,11.0
Indochine,https://www.the-numbers.com/movie/Indochine#tab=box-office,1993-01-01,1.0
Passion-Fish,https://www.the-numbers.com/movie/Passion-Fish#tab=box-office,1993-01-01,1.0
Lorenzo's-Oil,https://www.the-numbers.com/movie/Lorenzos-Oil#tab=box-office,1993-01-01,1.0
Howards-End,https://www.the-numbers.com/movie/Howards-End#tab=box-office,1992-03-13,3.0
The-Player,https://www.the-numbers.com/movie/Player-The#tab=box-office,1992-05-01,5.0
A-Few-Good-Men,https://www.the-numbers.com/movie/Few-Good-Men-A#tab=box-office,1992-12-11,12.0
Enchanted-April,https://www.the-numbers.com/movie/Enchanted-April#tab=box-office,1992-08-21,8.0
A-River-Runs-through-It,https://www.the-numbers.com/movie/River-Runs-through-It-A#tab=box-office,1992-10-23,10.0
Husbands-and-Wives,https://www.the-numbers.com/movie/Husbands-and-Wives#tab=box-office,1992-09-18,9.0
In-the-Name-of-the-Father,https://www.the-numbers.com/movie/In-the-Name-of-the-Father#tab=box-office,1994-01-14,1.0
What's-Love-Got-to-Do-with-It,https://www.the-numbers.com/movie/Whats-Love-Got-to-Do-with-It#tab=box-office,1993-06-11,6.0
