Movie Name,URL,Domestic Box Office 
Thelma-&-Louise,https://www.the-numbers.com/movie/Thelma-and-Louise#tab=box-office,45361000
Rambling-Rose,https://www.the-numbers.com/movie/Rambling-Rose#tab=box-office,6266621
The-Silence-of-the-Lambs,https://www.the-numbers.com/movie/Silence-of-the-Lambs-The#tab=box-office,130726716
For-the-Boys,https://www.the-numbers.com/movie/For-the-Boys#tab=box-office,17684580
Boyz-N-the-Hood,https://www.the-numbers.com/movie/Boyz-N-the-Hood#tab=box-office,56190094
Bugsy,https://www.the-numbers.com/movie/Bugsy#tab=box-office,49103967
JFK,https://www.the-numbers.com/movie/JFK#tab=box-office,70405498
Beauty-and-the-Beast,https://www.the-numbers.com/movie/Beauty-and-the-Beast#tab=box-office,206333165
The-Prince-of-Tides,https://www.the-numbers.com/movie/Prince-of-Tides-The#tab=box-office,74787599
Fried-Green-Tomatoes,https://www.the-numbers.com/movie/Fried-Green-Tomatoes#tab=box-office,81204830
The-Fisher-King,https://www.the-numbers.com/movie/Fisher-King-The#tab=box-office,41798224
Grand-Canyon,https://www.the-numbers.com/movie/Grand-Canyon#tab=box-office,32350000
Chaplin,https://www.the-numbers.com/movie/Chaplin#tab=box-office,9289349
Unforgiven,https://www.the-numbers.com/movie/Unforgiven#tab=box-office,101157447
Scent-of-a-Woman,https://www.the-numbers.com/movie/Scent-of-a-Woman#tab=box-office,63895607
The-Crying-Game,https://www.the-numbers.com/movie/Crying-Game-The#tab=box-office,62546695
Malcolm-X,https://www.the-numbers.com/movie/Malcolm-X#tab=box-office,48169910
Indochine,https://www.the-numbers.com/movie/Indochine#tab=box-office,5243537
Passion-Fish,https://www.the-numbers.com/movie/Passion-Fish#tab=box-office,5414619
Lorenzo's-Oil,https://www.the-numbers.com/movie/Lorenzos-Oil#tab=box-office,7144115
Howards-End,https://www.the-numbers.com/movie/Howards-End#tab=box-office,26124872
The-Player,https://www.the-numbers.com/movie/Player-The#tab=box-office,21706101
A-Few-Good-Men,https://www.the-numbers.com/movie/Few-Good-Men-A#tab=box-office,141340178
Enchanted-April,https://www.the-numbers.com/movie/Enchanted-April#tab=box-office,13200170
A-River-Runs-through-It,https://www.the-numbers.com/movie/River-Runs-through-It-A#tab=box-office,43440294
Husbands-and-Wives,https://www.the-numbers.com/movie/Husbands-and-Wives#tab=box-office,10555619
In-the-Name-of-the-Father,https://www.the-numbers.com/movie/In-the-Name-of-the-Father#tab=box-office,25096862
What's-Love-Got-to-Do-with-It,https://www.the-numbers.com/movie/Whats-Love-Got-to-Do-with-It#tab=box-office,39100956
Philadelphia,https://www.the-numbers.com/movie/Philadelphia#tab=box-office,77324422
The-Remains-of-the-Day,https://www.the-numbers.com/movie/Remains-of-the-Day-The#tab=box-office,22954968
